Customer_ID,recency,frequency,monetary,Recency_segment,Frequency_segment,Monetary_Segment
SM-203204,3972,15,25042,Dormant,Frequent,"High Spender"
TC-209804,4292,12,19050,Dormant,Frequent,"High Spender"
CS-118451,3908,26,16655,Dormant,Frequent,"High Spender"
SP-209202,4199,30,16566,Dormant,Frequent,"High Spender"
VG-218051,3989,18,15654,Dormant,Frequent,"High Spender"
RB-193604,3989,18,15117,Dormant,Frequent,"High Spender"
PF-191201,3986,19,15063,Dormant,Frequent,"High Spender"
TA-213854,3962,10,14596,Dormant,Frequent,"High Spender"
BF-110051,3901,23,14563,Dormant,Frequent,"High Spender"
AB-101054,3934,20,14476,Dormant,Frequent,"High Spender"
EM-139601,3895,32,14324,Dormant,Frequent,"High Spender"
KL-166454,3940,29,14175,Dormant,Frequent,"High Spender"
SC-200954,4242,22,14145,Dormant,Frequent,"High Spender"
BN-114701,4073,21,13672,Dormant,Frequent,"High Spender"
CS-121751,3953,35,13516,Dormant,Frequent,"High Spender"
FH-143653,3935,33,13328,Dormant,Frequent,"High Spender"
JS-160301,4039,26,13219,Dormant,Frequent,"High Spender"
DL-133152,3911,26,13191,Dormant,Frequent,"High Spender"
PO-188652,3956,16,13056,Dormant,Frequent,"High Spender"
CR-126251,4209,31,13043,Dormant,Frequent,"High Spender"
HL-150404,3936,11,12875,Dormant,Frequent,"High Spender"
BW-111101,4091,35,12267,Dormant,Frequent,"High Spender"
RO-197801,4014,25,12210,Dormant,Frequent,"High Spender"
SE-201104,3902,19,12209,Dormant,Frequent,"High Spender"
CC-123704,3936,11,12128,Dormant,Frequent,"High Spender"
TS-213704,3929,15,11891,Dormant,Frequent,"High Spender"
DP-131051,3991,16,11883,Dormant,Frequent,"High Spender"
ZC-219102,3896,27,11854,Dormant,Frequent,"High Spender"
DP-131651,4251,13,11836,Dormant,Frequent,"High Spender"
GT-147104,3929,29,11821,Dormant,Frequent,"High Spender"
BM-111404,4200,16,11791,Dormant,Frequent,"High Spender"
JH-158202,4003,27,11729,Dormant,Frequent,"High Spender"
AM-107051,4215,24,11719,Dormant,Frequent,"High Spender"
PB-192101,3925,24,11654,Dormant,Frequent,"High Spender"
CA-119651,3992,12,11653,Dormant,Frequent,"High Spender"
NH-186101,3913,35,11557,Dormant,Frequent,"High Spender"
MR-175452,4044,34,11500,Dormant,Frequent,"High Spender"
CA-127751,4460,11,11493,Dormant,Frequent,"High Spender"
NC-186251,3913,28,11491,Dormant,Frequent,"High Spender"
BE-114551,3920,24,11483,Dormant,Frequent,"High Spender"
SV-203654,3994,32,11472,Dormant,Frequent,"High Spender"
GT-147102,3962,12,11430,Dormant,Frequent,"High Spender"
CM-118302,3899,30,11303,Dormant,Frequent,"High Spender"
CJ-120104,4082,20,11165,Dormant,Frequent,"High Spender"
DJ-134202,3915,24,11158,Dormant,Frequent,"High Spender"
JG-158051,3935,40,11116,Dormant,Frequent,"High Spender"
TS-215051,3976,29,10964,Dormant,Frequent,"High Spender"
DR-129401,3968,28,10943,Dormant,Frequent,"High Spender"
JK-153251,3970,29,10908,Dormant,Frequent,"High Spender"
FW-143951,4030,27,10897,Dormant,Frequent,"High Spender"
CL-125654,4177,28,10881,Dormant,Frequent,"High Spender"
SC-206951,3982,30,10871,Dormant,Frequent,"High Spender"
JK-160901,3942,31,10861,Dormant,Frequent,"High Spender"
VT-217001,3981,32,10839,Dormant,Frequent,"High Spender"
AF-108701,3899,36,10793,Dormant,Frequent,"High Spender"
PL-189251,3942,18,10789,Dormant,Frequent,"High Spender"
CD-122801,4065,18,10763,Dormant,Frequent,"High Spender"
BE-113351,3928,34,10731,Dormant,Frequent,"High Spender"
JF-151901,3899,24,10692,Dormant,Frequent,"High Spender"
ME-173204,3935,22,10665,Dormant,Frequent,"High Spender"
AB-100151,4006,33,10662,Dormant,Frequent,"High Spender"
KF-162854,3990,18,10606,Dormant,Frequent,"High Spender"
EM-141401,4068,25,10563,Dormant,Frequent,"High Spender"
BS-113654,4451,9,10502,Dormant,Occasional,"High Spender"
HD-147851,3935,15,10484,Dormant,Frequent,"High Spender"
HG-148452,3935,22,10466,Dormant,Frequent,"High Spender"
BV-112452,3937,21,10437,Dormant,Frequent,"High Spender"
BM-117851,3933,34,10399,Dormant,Frequent,"High Spender"
BW-111102,3947,14,10394,Dormant,Frequent,"High Spender"
EH-137654,4028,32,10313,Dormant,Frequent,"High Spender"
HG-149651,3954,26,10262,Dormant,Frequent,"High Spender"
SW-207551,3967,24,10187,Dormant,Frequent,"High Spender"
DK-130901,3901,31,10186,Dormant,Frequent,"High Spender"
CL-127001,3901,20,10184,Dormant,Frequent,"High Spender"
MC-176353,3898,29,10126,Dormant,Frequent,"High Spender"
CD-127902,4033,23,10120,Dormant,Frequent,"High Spender"
