Region,Product_Name,Total_Profit
Africa,"Apple Smart Phone, Full Size",4103.406036376953
Africa,"Canon Wireless Fax, Laser",2968.320037841797
Africa,"Sauder Classic Bookcase, Traditional",2681.0999908447266
Africa,"Cisco Smart Phone, Cordless",2540.5919799804688
Africa,"Ikea Classic Bookcase, Traditional",1564.5
Canada,"Hewlett Wireless Fax, High-Speed",1854
Canada,"Motorola Smart Phone, Full Size",1159.02001953125
Canada,"SanDisk Router, USB",646.3800048828125
Canada,"Breville Microwave, White",593.6400146484375
Canada,"Rogers Lockers, Industrial",564.0600128173828
Caribbean,"Dania Classic Bookcase, Traditional",2061.987949371338
Caribbean,"SanDisk Router, Bluetooth",997.8399963378906
Caribbean,"Nokia Smart Phone, with Caller ID",851.7999877929688
Caribbean,"Barricks Wood Table, Adjustable Height",844.2879791259766
Caribbean,"SAFCO Executive Leather Armchair, Adjustable",822.6399841308594
Central,"Canon imageCLASS 2200 Advanced Copier",8399.9755859375
Central,"Nokia Smart Phone, Full Size",5174.545570373535
Central,"SAFCO Executive Leather Armchair, Black",4681.800048828125
Central,"Harbour Creations Executive Leather Armchair, Adjustable",3818.2079467773438
Central,"GBC Ibimaster 500 Manual ProClick Binding System",3804.900146484375
"Central Asia","Sauder Classic Bookcase, Traditional",2903.5800170898438
"Central Asia","Apple Smart Phone, with Caller ID",2817.989990234375
"Central Asia","Samsung Smart Phone, Cordless",2300.399932861328
"Central Asia","Bush Classic Bookcase, Metal",2126.52001953125
"Central Asia","Ikea Classic Bookcase, Mobile",1988.0999755859375
East,"Canon imageCLASS 2200 Advanced Copier",10079.971435546875
East,"Ativa V4110MDD Micro-Cut Shredder",3772.9461669921875
East,"3D Systems Cube Printer, 2nd Generation, Magenta",3717.9713134765625
East,"Zebra ZM400 Thermal Label Printer",3343.535888671875
East,"Hewlett Packard LaserJet 3310 Copier",3023.9495849609375
EMEA,"Cisco Smart Phone, Full Size",2722.3199768066406
EMEA,"Barricks Training Table, Adjustable Height",2255.8800659179688
EMEA,"Motorola Smart Phone, Full Size",2019.4349670410156
EMEA,"Bush Classic Bookcase, Pine",1825.740005493164
EMEA,"Canon Wireless Fax, Digital",1664.4000244140625
North,"Nokia Smart Phone, Full Size",6319.710136413574
North,"Cisco Smart Phone, Full Size",4471.719909667969
North,"Cisco Smart Phone, Cordless",2670.8279304504395
North,"Brother Fax Machine, Laser",2350.6200561523438
North,"Barricks Conference Table, Fully Assembled",2071.43994140625
"North Asia","Samsung Smart Phone, VoIP",5611.409973144531
"North Asia","Sharp Wireless Fax, Digital",2894.0999755859375
"North Asia","HP Copy Machine, Color",2855.1300048828125
"North Asia","Office Star Executive Leather Armchair, Black",2636.2799072265625
"North Asia","Bush Classic Bookcase, Mobile",2266.6800537109375
Oceania,"Motorola Smart Phone, Full Size",3683.670093536377
Oceania,"Sauder Classic Bookcase, Metal",3187.3499908447266
Oceania,"Novimex Executive Leather Armchair, Adjustable",2664.7620391845703
Oceania,"Hon Executive Leather Armchair, Adjustable",2528.8050079345703
Oceania,"Nokia Smart Phone, with Caller ID",2478.7860260009766
South,"Hoover Stove, Red",6537.060119628906
South,"Hamilton Beach Stove, Silver",4540.139892578125
South,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",3812.9700927734375
South,"Memorex Router, Bluetooth",2463.5
South,"Safco Classic Bookcase, Metal",2368.507972717285
"Southeast Asia","Dania Library with Doors, Traditional",2260.9920043945312
"Southeast Asia","Office Star Executive Leather Armchair, Black",2168.8352661132812
"Southeast Asia","Hewlett Wireless Fax, Color",2114.198974609375
"Southeast Asia","Samsung Smart Phone, Cordless",1578.3300170898438
"Southeast Asia","Motorola Smart Phone, Full Size",1545.5969848632812
West,"Canon imageCLASS 2200 Advanced Copier",6719.98095703125
West,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",3050.3759765625
West,"Canon PC1060 Personal Laser Copier",2267.9676208496094
West,"Hewlett Packard LaserJet 3310 Copier",2183.963623046875
West,"LogitechÂ Z-906 Speaker sys - home theater - 5.1-CH",1715.9479675292969
