Product_Name,Total_Profit,Total_Sales,profit_margin
"Canon imageCLASS 2200 Advanced Copier",25199.927978515625,61600,40.91
"Cisco Smart Phone, Full Size",17238.52048110962,76441,22.55
"Motorola Smart Phone, Full Size",17027.112995147705,73159,23.27
"Hoover Stove, Red",11807.969181060791,31664,37.29
"Sauder Classic Bookcase, Traditional",10672.07300376892,39110,27.29
"Harbour Creations Executive Leather Armchair, Adjustable",10427.325960159302,50120,20.8
"Nokia Smart Phone, Full Size",9938.195755004883,71904,13.82
"Cisco Smart Phone, with Caller ID",9786.64101266861,43124,22.69
"Nokia Smart Phone, with Caller ID",9465.32571130246,47880,19.77
"Belkin Router, USB",8955.017936706543,23473,38.15
